INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-10-02T05:00:00-00:00,2022-10-02T06:00:00-00:00,2022-10-01,23,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,2022-10-01,4,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T11:00:00-00:00,2022-10-01T12:00:00-00:00,2022-10-01,5,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,2022-10-01,8,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T21:00:00-00:00,2022-10-01T22:00:00-00:00,2022-10-01,15,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,6.56032,2
2022-10-01T15:00:00-00:00,2022-10-01T16:00:00-00:00,2022-10-01,9,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,6.04913,2
2022-10-01T16:00:00-00:00,2022-10-01T17:00:00-00:00,2022-10-01,10,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,7.8669,2
2022-10-01T18:00:00-00:00,2022-10-01T19:00:00-00:00,2022-10-01,12,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,7.33725,2
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,2022-10-01,19,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,1.10514,2
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,2022-10-01,24,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T09:00:00-00:00,2022-10-01T10:00:00-00:00,2022-10-01,3,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,2022-10-01,18,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,2.7544,2
2022-10-01T07:00:00-00:00,2022-10-01T08:00:00-00:00,2022-10-01,1,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,2022-10-01,7,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
